10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBILD80/81,Corporate Debenture
10.25% NIC Asia Debenture 2083/84,NICD83/84,Corporate Debenture
10.50% SBL Debenture 2082,SBLD2082,Corporate Debenture
11% NIC Asia Debenture 082/83,NICAD8283,Corporate Debenture
7.5% sbl debenture,SBLD78,Mutual Fund
8% BOK Debenture 2079,BOKD2079,Corporate Debenture
8% EBL Debenture 2078,EBLD2078,Corporate Debenture
ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,AKBSL,Microfinance
Agriculture Development Bank Limited,ADBL,Commercial Banks
Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Hydro Power
Api Power Company Ltd.,API,Hydro Power
Arambha Microfinance Bittiya Sanstha Ltd.,AMFI,Microfinance
Arun Kabeli Power Ltd.,AKPL,Hydro Power
Arun Valley Hydropower Development Co. Ltd.,AHPC,Hydro Power
Arun Vanaspati Udhyog Limited,AVU,Manufacturing And Processing
Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Microfinance
Asian Life Insurance Co. Limited,ALICL,Life Insurance
Bank of Kathmandu Ltd.,BOKL,Commercial Banks
Barun Hydropower Co. Ltd.,BARUN,Hydro Power
Best Finance Company Ltd.,BFC,Finance
Bhargav Bikash Bank Ltd.,BHBL,Development Banks
Birat Shoe Limited,BSL,Manufacturing And Processing
Bishal Bazar Company Limited,BBC,Tradings
Bottlers Nepal (Balaju) Limited,BNL,Manufacturing And Processing
Bottlers Nepal (Terai) Limited,BNT,Manufacturing And Processing
Butwal Power Company Limited,BPCL,Hydro Power
Butwal Spinning Mills Limited,BSM,Manufacturing And Processing
Capital Merchant Bank & Finance Co. Ltd.,CMB,Finance
Central Finance Co. Ltd.,CFCL,Finance
Century Commercial Bank Ltd.,CCBL,Commercial Banks
Chautari Laghubitta Bittya Sanstha Ltd,CHLBS,Microfinance
Chhimek Laghubitta Bikas Bank Limited,CBBL,Microfinance
Chhyangdi Hydropower Ltd.,CHL,Hydro Power
Chilime Hydropower Company Limited,CHCL,Hydro Power
Citizen Bank International Limited,CZBIL,Commercial Banks
Citizen Investment Trust,CIT,Others
Citizens Mutual Fund -1,CMF1,Mutual Fund
City Express Finance Co. Limited,CEFL,Finance
Civil Bank Ltd,CBL,Commercial Banks
Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,Microfinance
Corporate Development Bank Limited,CORBL,Development Banks
Crystal Finance Ltd.,CFL,Finance
Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Microfinance
Deva Bikas Bank Limited,DBBL,Development Banks
Dibyashwori Hydropower Ltd.,DHPL,Hydro Power
Everest Bank Limited,EBL,Commercial Banks
